Thresh: 0.000700  Dim:   11910
 Root         E(0)         E(2)
    1 -919.63023423 -919.63121330
    2 -919.51142914 -919.51468051
    3 -919.49140150 -919.49448904
    4 -919.49120212 -919.49442158
    5 -919.46873806 -919.47065160
Thresh: 0.000500  Dim:   18469
 Root         E(0)         E(2)
    1 -919.63054480 -919.63127161
    2 -919.51228990 -919.51483662
    3 -919.49229442 -919.49469612
    4 -919.49212819 -919.49463248
    5 -919.46934519 -919.47078197
Thresh: 0.000300  Dim:   34482
 Root         E(0)         E(2)
    1 -919.63087567 -919.63133127
    2 -919.51323107 -919.51499509
    3 -919.49324945 -919.49490493
    4 -919.49312536 -919.49484748
    5 -919.46997215 -919.47090732
